id,invoice_id,amount_paid,payment_method,paid_at,ref_number,bank_name,notes,recorded_by,created_at,proof_url,cash_account_id
8ba10000-0000-0000-0000-000000000002,e0110000-0000-0000-0000-000000000002,96900000.00,transfer_bank,2026-04-19T17:00:00.000Z,TRF202604200001,Mandiri,Termin 1 Gudang Gedebage,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8ba30000-0000-0000-0000-000000000001,e0130000-0000-0000-0000-000000000001,18360000.00,transfer_bank,2026-03-05T17:00:00.000Z,TRF202603060001,BCA,DP Tambah Ruang Pak Andi,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8ba30000-0000-0000-0000-000000000002,e0130000-0000-0000-0000-000000000002,24480000.00,transfer_bank,2026-04-17T17:00:00.000Z,TRF202604180001,BCA,Termin 1 Tambah Ruang Pak Andi,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8ba40000-0000-0000-0000-000000000001,e0140000-0000-0000-0000-000000000001,44370000.00,transfer_bank,2025-12-05T17:00:00.000Z,TRF202512060001,BNI,DP Toko Pak Rudi,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8ba40000-0000-0000-0000-000000000002,e0140000-0000-0000-0000-000000000002,44370000.00,transfer_bank,2026-02-06T17:00:00.000Z,TRF202602070001,BNI,Termin 1 Toko Pak Rudi,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8ba40000-0000-0000-0000-000000000003,e0140000-0000-0000-0000-000000000003,44370000.00,transfer_bank,2026-04-04T17:00:00.000Z,TRF202604050002,BNI,Termin 2 Toko Pak Rudi,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
6fcd58ee-655b-47cb-b171-f1f70db95926,81281453-b2d0-449b-a302-3a30d18d33af,252480000.00,transfer_bank,2026-06-13T17:00:00.000Z,,,,a0000000-0000-0000-0000-000000000001,2026-06-14T12:24:50.433Z,,ca510000-0000-0000-0000-000000000002
77670fdb-66d7-448b-a673-4a01987b8b08,e1000000-0000-0000-0000-000000000003,72675000.00,transfer_bank,2026-06-13T17:00:00.000Z,,,,a0000000-0000-0000-0000-000000000001,2026-06-14T12:25:05.150Z,,ca510000-0000-0000-0000-000000000002
e063d4c3-6218-43ef-98af-2a4da73bb397,e6000000-0000-0000-0000-000000000002,165750000.00,transfer_bank,2026-06-13T17:00:00.000Z,,,,a0000000-0000-0000-0000-000000000001,2026-06-14T12:25:17.685Z,,ca510000-0000-0000-0000-000000000002
9b1d1a74-944a-419e-b717-6579db29a487,e3000000-0000-0000-0000-000000000003,29070000.00,transfer_bank,2026-06-13T17:00:00.000Z,,,,a0000000-0000-0000-0000-000000000001,2026-06-14T12:25:27.446Z,,ca510000-0000-0000-0000-000000000001
672a6f54-ad50-4b30-b630-f3ea0952aea8,e9000000-0000-0000-0000-000000000003,107100000.00,transfer_bank,2026-06-13T17:00:00.000Z,,,,a0000000-0000-0000-0000-000000000001,2026-06-14T12:25:37.486Z,,ca510000-0000-0000-0000-000000000002
