id,code,name,description,category,status,activated_at,deprecated_at,created_at,created_by,updated_at,updated_by,company_id
21d2076f-8ad8-454c-8ec7-5c44d72673e2,CC-SE47-dinding-penahan-tanah,Dinding Penahan Tanah,"Kategori pekerjaan SE 47/2026 — sheet ""Dinding Penahan Tanah""",,draft,,,2026-07-26T19:43:38.089Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.089Z,,
80453371-c929-4127-a7b6-6f8b9bba43a2,CC-SE47-penutup-atap,Penutup Atap,"Kategori pekerjaan SE 47/2026 — sheet ""Penutup Atap""",,draft,,,2026-07-26T19:43:38.136Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.136Z,,
7d3cb543-d677-4945-b396-162a29739f1c,CC-SE47-plafon,Plafon,"Kategori pekerjaan SE 47/2026 — sheet ""Plafon""",,draft,,,2026-07-26T19:43:38.181Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.181Z,,
77e8bbbd-d64f-4a69-aa4e-f19db1d5e657,CC-SE47-pasangan-dinding,Pasangan Dinding,"Kategori pekerjaan SE 47/2026 — sheet ""Pasangan Dinding""",,draft,,,2026-07-26T19:43:38.227Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.227Z,,
5d6a9721-3c7c-47f0-aeba-a91efb898e3d,CC-SE47-plesteran-dan-acian,Plesteran Dan Acian,"Kategori pekerjaan SE 47/2026 — sheet ""Plesteran Dan Acian""",,draft,,,2026-07-26T19:43:38.273Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.273Z,,
5db04f4a-621a-406c-88df-8d264015e9eb,CC-SE47-pengecatan-dan-pelituran,Pengecatan dan Pelituran,"Kategori pekerjaan SE 47/2026 — sheet ""Pengecatan dan Pelituran""",,draft,,,2026-07-26T19:43:38.318Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.318Z,,
93f338e6-293c-43d5-8169-9192c8577173,CC-SE47-penutup-lantai-dan-dinding,Penutup Lantai dan Dinding,"Kategori pekerjaan SE 47/2026 — sheet ""Penutup Lantai dan Dinding""",,draft,,,2026-07-26T19:43:38.363Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.363Z,,
8df2dc63-9add-424e-9064-bc0a9debd947,CC-SE47-pintu-dan-jendela,Pintu dan Jendela,"Kategori pekerjaan SE 47/2026 — sheet ""Pintu dan Jendela""",,draft,,,2026-07-26T19:43:38.408Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.408Z,,
9756ffcd-32cb-42fe-831d-51bbd52a15dd,CC-SE47-kaca,Kaca,"Kategori pekerjaan SE 47/2026 — sheet ""Kaca""",,draft,,,2026-07-26T19:43:38.453Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.453Z,,
d227757a-1549-4564-b937-5050287a1fa8,CC-SE47-besi-dan-aluminium,Besi dan Aluminium,"Kategori pekerjaan SE 47/2026 — sheet ""Besi dan Aluminium""",,draft,,,2026-07-26T19:43:38.498Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.498Z,,
ade6e819-60cc-4a63-90fd-a33fcd30bb6e,CC-SE47-kayu,Kayu,"Kategori pekerjaan SE 47/2026 — sheet ""Kayu""",,draft,,,2026-07-26T19:43:38.543Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.543Z,,
582c7a0f-e17d-4781-bc97-f6a9a3ec3932,CC-SE47-ornamen,Ornamen,"Kategori pekerjaan SE 47/2026 — sheet ""Ornamen""",,draft,,,2026-07-26T19:43:38.588Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.588Z,,
80a34338-7506-4397-bd19-9ec35869136e,CC-SE47-signage,Signage,"Kategori pekerjaan SE 47/2026 — sheet ""Signage""",,draft,,,2026-07-26T19:43:38.633Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.633Z,,
9a5c1658-26bc-4cda-8feb-08e44fc83ece,CC-SE47-sanitair,Sanitair,"Kategori pekerjaan SE 47/2026 — sheet ""Sanitair""",,draft,,,2026-07-26T19:43:38.677Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.677Z,,
708ebe34-c9e3-4cc9-bde0-12fb9c51a24b,CC-SE47-lansekap,Lansekap,"Kategori pekerjaan SE 47/2026 — sheet ""Lansekap""",,draft,,,2026-07-26T19:43:38.722Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.722Z,,
7b4a8d26-3dab-4db1-b1a8-3a244884b051,CC-SE47-jaringan-listrik,Jaringan Listrik,"Kategori pekerjaan SE 47/2026 — sheet ""Jaringan Listrik""",,draft,,,2026-07-26T19:43:38.766Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.766Z,,
de9e6155-6314-49b1-b51f-43e30ee6219e,CC-SE47-perpipaan-dan-proteksi-kebakar,Perpipaan dan proteksi kebakar,"Kategori pekerjaan SE 47/2026 — sheet ""Perpipaan dan proteksi kebakar""",,draft,,,2026-07-26T19:43:38.810Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.810Z,,
d65fd599-3cf7-4cc3-aa92-67ab7512afc2,CC-SE47-sistem-air-minum,Sistem Air Minum,"Kategori pekerjaan SE 47/2026 — sheet ""Sistem Air Minum""",,draft,,,2026-07-26T19:43:38.855Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.855Z,,
e94dc43f-7dbd-4708-a8bd-7e991f13f433,CC-SE47-sistem-air-limbah,Sistem Air Limbah,"Kategori pekerjaan SE 47/2026 — sheet ""Sistem Air Limbah""",,draft,,,2026-07-26T19:43:38.899Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.899Z,,
f934a287-41d0-45f0-8f12-e62422b25e39,CC-SE47-bak-kontrol,Bak Kontrol,"Kategori pekerjaan SE 47/2026 — sheet ""Bak Kontrol""",,draft,,,2026-07-26T19:43:38.944Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.944Z,,
69513cc1-11d2-4c52-ae3e-b4f8ddf40f7b,CC-SE47-perpipaan-dalam-gedung,Perpipaan dalam Gedung,"Kategori pekerjaan SE 47/2026 — sheet ""Perpipaan dalam Gedung""",,draft,,,2026-07-26T19:43:38.989Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.989Z,,
bff5da5b-2bdd-477d-a4e0-de459c16a554,CC-SE47-sistem-air-hujan,Sistem Air Hujan,"Kategori pekerjaan SE 47/2026 — sheet ""Sistem Air Hujan""",,draft,,,2026-07-26T19:43:39.033Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:39.033Z,,
56587232-a984-40b0-b7e3-35d099cfa8f5,CC-SE47-drainase,Drainase,"Kategori pekerjaan SE 47/2026 — sheet ""Drainase""",,draft,,,2026-07-26T19:43:39.077Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:39.077Z,,
115db7da-8a1f-4561-a9c1-679a346fb38e,CC-SE47-jalan-pada-pemukiman,Jalan Pada Pemukiman,"Kategori pekerjaan SE 47/2026 — sheet ""Jalan Pada Pemukiman""",,draft,,,2026-07-26T19:43:39.122Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:39.122Z,,
c64cb1d8-0746-457d-8d68-70cda68bfb4b,CC-SE47-jaringan-pipa-luar-gedung,Jaringan Pipa Luar Gedung,"Kategori pekerjaan SE 47/2026 — sheet ""Jaringan Pipa Luar Gedung""",,draft,,,2026-07-26T19:43:39.168Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:39.168Z,,
1ea1b72f-2aa3-4971-a8d8-4ed146cb5129,CC-SE47-strutur-risha,Strutur Risha,"Kategori pekerjaan SE 47/2026 — sheet ""Strutur Risha""",,draft,,,2026-07-26T19:43:39.213Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:39.213Z,,
3a9328b1-091e-4c6f-8e0c-ff9d4d4af007,CC-CIB-analisa-standar,ANALISA STANDAR,"Kategori pekerjaan workbook Cibuluh — sheet ""ANALISA STANDAR""",,draft,,,2026-07-28T14:25:44.716Z,a0000000-0000-0000-0000-000000000001,2026-07-28T14:25:44.716Z,,
84167b0f-f33c-4c1c-b17d-cd36651872f6,CC-CIB-kusen-alumunium,KUSEN ALUMUNIUM,"Kategori pekerjaan workbook Cibuluh — sheet ""KUSEN ALUMUNIUM""",,draft,,,2026-07-28T14:25:44.798Z,a0000000-0000-0000-0000-000000000001,2026-07-28T14:25:44.798Z,,
f7965e42-a225-450f-909b-722f4a06cded,CC-CIB-analisa-listrik,ANALISA LISTRIK,"Kategori pekerjaan workbook Cibuluh — sheet ""ANALISA LISTRIK""",,draft,,,2026-07-28T14:25:44.843Z,a0000000-0000-0000-0000-000000000001,2026-07-28T14:25:44.843Z,,
4c2841ed-6932-488f-a03f-e64eb96a567e,CC-CIB-analisa-beton,ANALISA BETON,"Kategori pekerjaan workbook Cibuluh — sheet ""ANALISA BETON""",,draft,,,2026-07-28T14:25:44.893Z,a0000000-0000-0000-0000-000000000001,2026-07-28T14:25:44.893Z,,
6e393681-9391-4df3-bf07-39088a2fdbd8,CC-CIB-analbongkar,ANALBONGKAR,"Kategori pekerjaan workbook Cibuluh — sheet ""ANALBONGKAR""",,draft,,,2026-07-28T14:25:44.939Z,a0000000-0000-0000-0000-000000000001,2026-07-28T14:25:44.939Z,,
