id,work_scope_id,item_name,category,description,unit,volume,unit_price,subtotal,volume_done,pct_done,sort_order,notes,created_by,created_at,updated_at
ac020001-0000-0000-0000-000000000001,ab020000-0000-0000-0000-000000000001,Cor pondasi telapak,struktur,,m3,32.000,950000.00,30400000.00,32.000,100.00,1,K-250 ready mix,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac020001-0000-0000-0000-000000000002,ab020000-0000-0000-0000-000000000001,Kolom lantai 1,struktur,,buah,28.000,850000.00,23800000.00,21.000,75.00,2,UK 30x30,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac020001-0000-0000-0000-000000000003,ab020000-0000-0000-0000-000000000001,Balok lantai 1,struktur,,m,120.000,220000.00,26400000.00,90.000,75.00,3,25x40,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac020001-0000-0000-0000-000000000004,ab020000-0000-0000-0000-000000000001,Pasang bata dinding,dinding,,m2,250.000,125000.00,31250000.00,150.000,60.00,4,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac060001-0000-0000-0000-000000000001,ab060000-0000-0000-0000-000000000001,Pondasi bore pile,struktur,,titik,24.000,2500000.00,60000000.00,24.000,100.00,1,"Diameter 30cm, kedalaman 12m",a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac060001-0000-0000-0000-000000000002,ab060000-0000-0000-0000-000000000001,Kolom 3 lantai,struktur,,buah,36.000,1200000.00,43200000.00,18.000,50.00,2,UK 30x60,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac060001-0000-0000-0000-000000000003,ab060000-0000-0000-0000-000000000001,Balok induk,struktur,,m,180.000,350000.00,63000000.00,63.000,35.00,3,25x50,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac060001-0000-0000-0000-000000000004,ab060000-0000-0000-0000-000000000001,Plat lantai,struktur,,m2,400.000,320000.00,128000000.00,140.000,35.00,4,"Tebal 12cm, K-300",a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac110001-0000-0000-0000-000000000001,ab110000-0000-0000-0000-000000000001,Galian pondasi,lain_lain,,m3,120.000,95000.00,11400000.00,120.000,100.00,1,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac110001-0000-0000-0000-000000000002,ab110000-0000-0000-0000-000000000001,Cor pondasi telapak,struktur,,m3,45.000,950000.00,42750000.00,45.000,100.00,2,K-225,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac110001-0000-0000-0000-000000000003,ab110000-0000-0000-0000-000000000001,Cor lantai gudang,struktur,,m3,60.000,900000.00,54000000.00,30.000,50.00,3,"K-225 tebal 15cm, floor hardener",a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac110002-0000-0000-0000-000000000001,ab110000-0000-0000-0000-000000000002,Kolom baja WF,baja,,kg,8500.000,18500.00,157250000.00,5100.000,60.00,1,WF 200x200,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac110002-0000-0000-0000-000000000002,ab110000-0000-0000-0000-000000000002,Kuda-kuda baja,baja,,kg,6200.000,18500.00,114700000.00,2790.000,45.00,2,CNP 150x65,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac110002-0000-0000-0000-000000000003,ab110000-0000-0000-0000-000000000002,Pasang atap spandek,atap,,m2,500.000,95000.00,47500000.00,0.000,0.00,3,Spandek 0.35mm,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac070001-0000-0000-0000-000000000001,ab070000-0000-0000-0000-000000000001,Bongkaran total,lain_lain,,m2,150.000,85000.00,12750000.00,150.000,100.00,1,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac070001-0000-0000-0000-000000000002,ab070000-0000-0000-0000-000000000001,Pekerjaan struktur,struktur,,ls,1.000,45000000.00,45000000.00,1.000,100.00,2,"Kolom, balok, sloof",a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac070001-0000-0000-0000-000000000003,ab070000-0000-0000-0000-000000000001,Finishing & cat,finishing,,m2,320.000,95000.00,30400000.00,224.000,70.00,3,"Plester, acian, keramik, cat",a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
