id,project_id,termin_schedule_id,expense_report_id,invoice_number,invoice_type,base_amount,commission_amount,tax_amount,total_amount,amount_paid,amount_due,issued_date,due_date,paid_date,status,notes,created_by,created_at,updated_at,total_pengeluaran,commission_pct,retensi_pct,retensi_amount,description,penalty_waived,penalty_waived_reason,penalty_waived_by,penalty_waived_at,dp_deduction_amount,dp_deduction_pct
e9000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000009,d9000000-0000-0000-0000-000000000002,,INV/PRL/2025/002,termin_billing,105000000.00,0.00,2100000.00,107100000.00,107100000.00,0.00,2025-12-14T17:00:00.000Z,2025-12-21T17:00:00.000Z,2025-12-19T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e0110000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000011,d0110000-0000-0000-0000-000000000001,,INV/PRL/2026/014,termin_billing,114000000.00,0.00,2280000.00,116280000.00,116280000.00,0.00,2026-02-14T17:00:00.000Z,2026-02-21T17:00:00.000Z,2026-02-19T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e0110000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000011,d0110000-0000-0000-0000-000000000002,,INV/PRL/2026/015,termin_billing,95000000.00,0.00,1900000.00,96900000.00,96900000.00,0.00,2026-04-14T17:00:00.000Z,2026-04-21T17:00:00.000Z,2026-04-19T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e0110000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000011,d0110000-0000-0000-0000-000000000003,,INV/PRL/2026/016,termin_billing,95000000.00,0.00,1900000.00,96900000.00,0.00,96900000.00,2026-05-31T17:00:00.000Z,2026-06-07T17:00:00.000Z,,sent,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e0130000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000013,d0130000-0000-0000-0000-000000000001,,INV/PRL/2026/017,termin_billing,18000000.00,0.00,360000.00,18360000.00,18360000.00,0.00,2026-02-28T17:00:00.000Z,2026-03-07T17:00:00.000Z,2026-03-05T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e0130000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000013,d0130000-0000-0000-0000-000000000002,,INV/PRL/2026/018,termin_billing,24000000.00,0.00,480000.00,24480000.00,24480000.00,0.00,2026-04-14T17:00:00.000Z,2026-04-21T17:00:00.000Z,2026-04-17T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e0130000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000013,d0130000-0000-0000-0000-000000000003,,INV/PRL/2026/019,termin_billing,15000000.00,0.00,300000.00,15300000.00,0.00,15300000.00,2026-05-31T17:00:00.000Z,2026-06-07T17:00:00.000Z,,sent,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e0140000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000014,d0140000-0000-0000-0000-000000000001,,INV/PRL/2025/003,termin_billing,43500000.00,0.00,870000.00,44370000.00,44370000.00,0.00,2025-11-30T17:00:00.000Z,2025-12-07T17:00:00.000Z,2025-12-05T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e0140000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000014,d0140000-0000-0000-0000-000000000002,,INV/PRL/2026/020,termin_billing,43500000.00,0.00,870000.00,44370000.00,44370000.00,0.00,2026-01-31T17:00:00.000Z,2026-02-07T17:00:00.000Z,2026-02-06T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e0140000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000014,d0140000-0000-0000-0000-000000000003,,INV/PRL/2026/021,termin_billing,43500000.00,0.00,870000.00,44370000.00,44370000.00,0.00,2026-03-31T17:00:00.000Z,2026-04-07T17:00:00.000Z,2026-04-04T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e0140000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000014,d0140000-0000-0000-0000-000000000004,,INV/PRL/2026/022,termin_billing,7250000.00,0.00,145000.00,7395000.00,0.00,7395000.00,2026-05-31T17:00:00.000Z,2026-06-07T17:00:00.000Z,,sent,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
81281453-b2d0-449b-a302-3a30d18d33af,c0000000-0000-0000-0000-000000000002,,,INV/PRL/2026/026,commission_billing,224000000.00,24000000.00,4480000.00,252480000.00,252480000.00,0.00,2026-06-13T17:00:00.000Z,2026-07-13T17:00:00.000Z,2026-06-13T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-14T05:43:10.160Z,2026-06-14T12:24:50.496Z,,,,0.00,,false,,,,0.00,
e1000000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000001,d1000000-0000-0000-0000-000000000003,,INV/PRL/2026/006,termin_billing,71250000.00,0.00,1425000.00,72675000.00,72675000.00,0.00,2026-04-30T17:00:00.000Z,2026-05-07T17:00:00.000Z,2026-06-13T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-14T12:25:05.193Z,,,,0.00,,false,,,,0.00,
e6000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000006,d6000000-0000-0000-0000-000000000002,,INV/PRL/2026/011,termin_billing,162500000.00,0.00,3250000.00,165750000.00,165750000.00,0.00,2026-03-31T17:00:00.000Z,2026-04-07T17:00:00.000Z,2026-06-13T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-14T12:25:17.732Z,,,,0.00,,false,,,,0.00,
e3000000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000003,d3000000-0000-0000-0000-000000000003,,INV/PRL/2026/009,termin_billing,28500000.00,0.00,570000.00,29070000.00,29070000.00,0.00,2026-05-31T17:00:00.000Z,2026-06-07T17:00:00.000Z,2026-06-13T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-14T12:25:27.486Z,,,,0.00,,false,,,,0.00,
e9000000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000009,d9000000-0000-0000-0000-000000000003,,INV/PRL/2026/013,termin_billing,105000000.00,0.00,2100000.00,107100000.00,107100000.00,0.00,2026-02-28T17:00:00.000Z,2026-03-07T17:00:00.000Z,2026-06-13T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-14T12:25:37.526Z,,,,0.00,,false,,,,0.00,
