id,project_id,title,description,target_date,completed_at,status,sort_order,created_by,created_at,updated_at
fe060000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,Galian & bore pile selesai,,2026-02-27T17:00:00.000Z,2026-02-24T17:00:00.000Z,completed,1,a0000000-0000-0000-0000-000000000015,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe060000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000006,Struktur lantai 1 selesai,,2026-05-30T17:00:00.000Z,,in_progress,2,a0000000-0000-0000-0000-000000000015,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe060000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000006,Struktur lantai 2 & 3,,2026-09-29T17:00:00.000Z,,pending,3,a0000000-0000-0000-0000-000000000015,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe060000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000006,Finishing total,,2026-12-14T17:00:00.000Z,,pending,4,a0000000-0000-0000-0000-000000000015,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe060000-0000-0000-0000-000000000005,c0000000-0000-0000-0000-000000000006,Serah terima,,2026-12-30T17:00:00.000Z,,pending,5,a0000000-0000-0000-0000-000000000015,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe080000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000008,Galian basement & bore pile,,2026-06-29T17:00:00.000Z,,in_progress,1,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe080000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000008,Struktur basement selesai,,2026-09-29T17:00:00.000Z,,pending,2,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe080000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000008,Struktur lt1 & lt2 selesai,,2027-01-30T17:00:00.000Z,,pending,3,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe110000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000011,Pondasi & sloof selesai,,2026-04-29T17:00:00.000Z,2026-04-27T17:00:00.000Z,completed,1,a0000000-0000-0000-0000-000000000015,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe110000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000011,Cor lantai gudang selesai,,2026-05-30T17:00:00.000Z,,in_progress,2,a0000000-0000-0000-0000-000000000015,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe020000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000002,Struktur lantai 2 & atap,,2026-08-30T17:00:00.000Z,2026-06-12T17:00:00.000Z,completed,3,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T18:19:45.663Z
fe020000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000002,Struktur lantai 1 selesai,,2026-06-29T17:00:00.000Z,2026-06-12T17:00:00.000Z,completed,2,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T18:19:46.575Z
fe020000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000002,Finishing total selesai,,2026-10-30T17:00:00.000Z,2026-06-12T17:00:00.000Z,completed,4,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T18:19:47.413Z
fe110000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000011,Erection rangka baja selesai,,2026-07-30T17:00:00.000Z,,pending,3,a0000000-0000-0000-0000-000000000015,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe110000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000011,Atap & penutup dinding,,2026-09-29T17:00:00.000Z,,pending,4,a0000000-0000-0000-0000-000000000015,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe130000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000013,Struktur tambah ruang selesai,,2026-04-14T17:00:00.000Z,2026-04-13T17:00:00.000Z,completed,1,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe130000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000013,Finishing & cat selesai,,2026-06-14T17:00:00.000Z,,in_progress,2,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe130000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000013,Serah terima,,2026-06-29T17:00:00.000Z,,pending,3,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe140000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000014,Bongkaran & partisi selesai,,2026-01-30T17:00:00.000Z,2026-01-29T17:00:00.000Z,completed,1,a0000000-0000-0000-0000-000000000003,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe140000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000014,Lantai & plafon selesai,,2026-03-30T17:00:00.000Z,2026-03-28T17:00:00.000Z,completed,2,a0000000-0000-0000-0000-000000000003,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe140000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000014,Finishing & MEP selesai,,2026-04-29T17:00:00.000Z,2026-04-27T17:00:00.000Z,completed,3,a0000000-0000-0000-0000-000000000003,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe140000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000014,Serah terima final,,2026-05-14T17:00:00.000Z,2026-05-11T17:00:00.000Z,completed,4,a0000000-0000-0000-0000-000000000003,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
